,GO_term,pfam_id,GO_id,GO_level,count,GO_idx
256,RNA ligase activity,PF01139,GO:0008452,function,1,416
1723,pseudouridine synthase activity,PF01142,GO:0009982,function,5,417
92,CoA-transferase activity,PF01144,GO:0008410,function,2,418
555,caveola assembly,PF01146,GO:0070836,process,1,419
98,DNA N-glycosylase activity,PF01149,GO:0019104,function,1,420
835,fatty acid elongase activity,PF01151,GO:0009922,function,1,421
1425,oxygen binding,PF01152,GO:0019825,function,2,422
661,collagen-containing extracellular matrix,PF01153,GO:0062023,component,2,423
1660,protein maturation,PF01155,GO:0051604,process,2,424
990,"hydrolase activity, hydrolyzing N-glycosyl compounds",PF01156,GO:0016799,function,3,425
1307,neuropeptide signaling pathway,PF01160,GO:0007218,process,11,426
1830,regulation of transcription by RNA polymerase II,PF01166,GO:0006357,process,22,427
1730,pyridoxal phosphate biosynthetic process,PF01174,GO:0042823,process,1,428
1753,"racemase activity, acting on amino acids and derivatives",PF01177,GO:0036361,function,1,429
1611,primary amine oxidase activity,PF01179,GO:0008131,function,3,430
861,fungal-type cell wall,PF01185,GO:0009277,component,3,431
1418,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",PF01186,GO:0016641,function,1,432
420,aminoacyl-tRNA hydrolase activity,PF01195,GO:0004045,function,2,433
1674,protein secretion by the type II secretion system,PF01203,GO:0015628,process,5,434
2117,trehalose metabolic process,PF01204,GO:0005991,process,1,435
2156,uroporphyrinogen decarboxylase activity,PF01208,GO:0004853,function,1,436
906,glycerol-3-phosphate catabolic process,PF01210,GO:0046168,process,1,437
711,cytoskeleton organization,PF01213,GO:0007010,process,4,438
1655,protein kinase CK2 complex,PF01214,GO:0005956,component,1,439
1201,mitochondrial envelope,PF01215,GO:0005740,component,2,440
670,coproporphyrinogen oxidase activity,PF01218,GO:0004109,function,1,441
1504,phospholipid biosynthetic process,PF01219,GO:0008654,process,6,442
23,3-dehydroquinate dehydratase activity,PF01220,GO:0003855,function,2,443
762,dynein complex,PF01221,GO:0030286,component,2,444
1414,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",PF01222,GO:0016628,function,1,445
351,acid-amino acid ligase activity,PF01225,GO:0016881,function,3,446
919,glycylpeptide N-tetradecanoyltransferase activity,PF01233,GO:0004379,function,2,447
417,amino acid:sodium symporter activity,PF01235,GO:0005283,function,1,448
1081,lipid binding,PF01237,GO:0008289,function,11,449
1669,protein prenylation,PF01239,GO:0018342,process,1,450
1161,metallodipeptidase activity,PF01244,GO:0070573,function,1,451
463,aspartic-type endopeptidase activity,PF01252,GO:0004190,function,9,452
1362,nucleosome,PF01254,GO:0000786,component,4,453
1053,isomerase activity,PF01263,GO:0016853,function,9,454
629,chorismate synthase activity,PF01264,GO:0004107,function,1,455
959,holocytochrome-c synthase activity,PF01265,GO:0004408,function,1,456
851,formate-tetrahydrofolate ligase activity,PF01268,GO:0004329,function,1,457
1752,rRNA processing,PF01269,GO:0006364,process,23,458
1897,secretory granule,PF01271,GO:0030141,component,2,459
1772,regulation of DNA-templated transcription elongation,PF01272,GO:0032784,process,2,460
1122,malate synthase activity,PF01274,GO:0004474,function,1,461
1259,monolayer-surrounded lipid storage body,PF01277,GO:0012511,component,1,462
781,endopeptidase activity,PF01278,GO:0004175,function,1,463
1594,positive regulation of translational termination,PF01287,GO:0045905,process,1,464
849,folic acid-containing compound biosynthetic process,PF01288,GO:0009396,process,1,465
622,cholesterol binding,PF01289,GO:0015485,function,1,466
365,actin monomer binding,PF01290,GO:0003785,function,1,467
699,cytokine activity,PF01291,GO:0005125,function,10,468
1493,phosphoenolpyruvate carboxykinase (ATP) activity,PF01293,GO:0004612,function,1,469
512,cAMP biosynthetic process,PF01295,GO:0006171,process,3,470
1158,metal ion transport,PF01297,GO:0030001,process,5,471
1936,single fertilization,PF01303,GO:0007338,process,1,472
873,gas vesicle,PF01304,GO:0031411,component,3,473
537,carbohydrate:proton symporter activity,PF01306,GO:0005351,function,1,474
1565,porin activity,PF01308,GO:0015288,function,8,475
940,hexon binding,PF01310,GO:0031423,function,2,476
1423,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor",PF01314,GO:0016625,function,2,477
449,arginine metabolic process,PF01316,GO:0006525,process,2,478
2065,toxic substance binding,PF01320,GO:0015643,function,6,479
1440,peptide deformylase activity,PF01327,GO:0042586,function,1,480
1454,peroxidase activity,PF01328,GO:0004601,function,3,481
33,4-alpha-hydroxytetrahydrobiopterin dehydratase activity,PF01329,GO:0008124,function,1,482
853,four-way junction helicase activity,PF01330,GO:0009378,function,4,483
1109,mRNA guanylyltransferase activity,PF01331,GO:0004484,function,2,484
2058,thylakoid membrane,PF01333,GO:0042651,component,3,485
1702,protein-glutamate methylesterase activity,PF01339,GO:0008984,function,1,486
1169,methionine metabolic process,PF01340,GO:0006555,process,2,487
595,cellulose catabolic process,PF01341,GO:0030245,process,4,488
1637,protein folding,PF01346,GO:0006457,process,14,489
1089,lipid transporter activity,PF01347,GO:0005319,function,4,490
1112,mRNA processing,PF01348,GO:0006397,process,11,491
257,RNA metabolic process,PF01350,GO:0016070,process,4,492
497,bioluminescence,PF01353,GO:0008218,process,3,493
386,aerobic electron transport chain,PF01355,GO:0019646,process,2,494
405,alpha-amylase inhibitor activity,PF01356,GO:0015066,function,1,495
518,calcium ion transmembrane transport,PF01365,GO:0070588,process,1,496
2171,viral DNA genome packaging,PF01366,GO:0019073,process,5,497
1764,regulation of ARF protein signal transduction,PF01369,GO:0032012,process,1,498
1658,protein kinase inhibitor activity,PF01372,GO:0004860,function,2,499
487,beta-amylase activity,PF01373,GO:0016161,function,1,500
615,chitosanase activity,PF01374,GO:0016977,function,2,501
572,cell wall,PF01378,GO:0005618,component,7,502
994,hydroxymethylbilane synthase activity,PF01379,GO:0004418,function,2,503
531,carbohydrate derivative binding,PF01380,GO:0097367,function,2,504
500,biotin binding,PF01382,GO:0009374,function,1,505
1009,inorganic phosphate transmembrane transporter activity,PF01384,GO:0005315,function,1,506
1371,odorant binding,PF01395,GO:0005549,function,2,507
635,chromosome,PF01396,GO:0005694,component,4,508
2040,terpene synthase activity,PF01397,GO:0010333,function,2,509
1164,metallopeptidase activity,PF01398,GO:0008237,function,5,510
1162,metalloendopeptidase activity,PF01400,GO:0004222,function,25,511
1449,peptidyl-dipeptidase activity,PF01401,GO:0008241,function,1,512
1532,photosystem II reaction center,PF01405,GO:0009539,component,6,513
824,extracellular matrix structural constituent,PF01410,GO:0005201,function,4,514
390,alanyl-tRNA aminoacylation,PF01411,GO:0006419,process,1,515
173,GTPase activator activity,PF01412,GO:0005096,function,9,516
660,collagen trimer,PF01413,GO:0005581,component,1,517
559,cell communication,PF01414,GO:0007154,process,4,518
1023,interleukin-7 receptor binding,PF01415,GO:0005139,function,1,519
632,chromatin binding,PF01426,GO:0003682,function,4,520
745,dipeptidase activity,PF01427,GO:0016805,function,2,521
61,ATP-dependent peptidase activity,PF01434,GO:0004176,function,3,522
1092,lipoprotein metabolic process,PF01442,GO:0042157,process,5,523
1060,ketol-acid reductoisomerase activity,PF01450,GO:0004455,function,1,524
1211,mitochondrial outer membrane,PF01459,GO:0005741,component,4,525
2144,ubiquitin-dependent protein catabolic process,PF01466,GO:0006511,process,9,526
25,3-deoxy-7-phosphoheptulonate synthase activity,PF01474,GO:0003849,function,1,527
1985,structural constituent of cuticle,PF01484,GO:0042302,function,4,528
154,FAD binding,PF01494,GO:0071949,function,4,529
1719,"proton-transporting V-type ATPase, V0 domain",PF01496,GO:0033179,component,2,530
2180,viral genome packaging,PF01499,GO:0019072,process,2,531
1056,keratin filament,PF01500,GO:0045095,component,3,532
1512,phosphoribosyl-AMP cyclohydrolase activity,PF01502,GO:0004635,function,1,533
1486,phosphatidylinositol kinase activity,PF01504,GO:0052742,function,1,534
269,RNA processing,PF01509,GO:0006396,process,18,535
216,N-acetylmuramoyl-L-alanine amidase activity,PF01510,GO:0008745,function,2,536
233,NADP biosynthetic process,PF01513,GO:0006741,process,1,537
2178,viral entry into host cell,PF01517,GO:0046718,process,6,538
1942,single-stranded RNA binding,PF01518,GO:0003727,function,1,539
984,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",PF01522,GO:0016810,function,1,540
1287,negative regulation of gene silencing by regulatory ncRNA,PF01524,GO:0060967,process,1,541
964,host cell cytoplasm,PF01525,GO:0030430,component,5,542
1428,palmitoyltransferase activity,PF01529,GO:0016409,function,1,543
866,galactoside 2-alpha-L-fucosyltransferase activity,PF01531,GO:0008107,function,2,544
1132,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",PF01532,GO:0004571,function,1,545
571,cell surface receptor signaling pathway,PF01534,GO:0007166,process,3,546
1157,metal ion transmembrane transporter activity,PF01544,GO:0046873,function,3,547
1254,monoatomic cation transmembrane transporter activity,PF01545,GO:0008324,function,5,548
2213,xenobiotic transmembrane transporter activity,PF01554,GO:0042910,function,2,549
110,DNA methylation,PF01555,GO:0006306,process,2,550
1420,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",PF01558,GO:0016903,function,2,551
1370,nutrient reservoir activity,PF01559,GO:0045735,function,3,552
2203,virus-mediated perturbation of host defense response,PF01561,GO:0019049,process,7,553
846,flavin adenine dinucleotide binding,PF01565,GO:0050660,function,11,554
1248,molybdopterin cofactor binding,PF01568,GO:0043546,function,1,555
968,host cell junction,PF01573,GO:0044156,component,1,556
697,cytochrome complex assembly,PF01578,GO:0017004,process,6,557
609,chemotaxis,PF01584,GO:0006935,process,7,558
2019,tRNA binding,PF01588,GO:0000049,function,4,559
855,fructose metabolic process,PF01591,GO:0006000,process,1,560
1759,receptor-mediated virion attachment to host cell,PF01601,GO:0046813,process,1,561
1152,membrane coat,PF01602,GO:0030117,component,2,562
1667,protein phosphatase type 2A complex,PF01603,GO:0000159,component,1,563
1348,nucleobase-containing compound metabolic process,PF01612,GO:0006139,process,3,564
1445,peptide-methionine (S)-S-oxide reductase activity,PF01625,GO:0008113,function,1,565
978,hyalurononglucosaminidase activity,PF01630,GO:0004415,function,2,566
56,ATP phosphoribosyltransferase activity,PF01634,GO:0003879,function,2,567
1994,structural constituent of virion,PF01635,GO:0039660,function,1,568
1444,peptide-methionine (R)-S-oxide reductase activity,PF01641,GO:0033743,function,1,569
1043,intramolecular transferase activity,PF01642,GO:0016866,function,1,570
2053,thiolester hydrolase activity,PF01643,GO:0016790,function,2,571
611,chitin biosynthetic process,PF01644,GO:0006031,process,1,572
888,glutamate biosynthetic process,PF01645,GO:0006537,process,1,573
958,holo-[acyl-carrier-protein] synthase activity,PF01648,GO:0008897,function,2,574
108,DNA ligase (NAD+) activity,PF01653,GO:0003911,function,3,575
696,cytochrome complex,PF01654,GO:0070069,component,1,576
1110,mRNA methyltransferase activity,PF01660,GO:0008174,function,1,577
1989,structural constituent of myelin sheath,PF01669,GO:0019911,function,1,578
2034,taxis,PF01671,GO:0042330,process,1,579
1083,lipid catabolic process,PF01674,GO:0016042,process,9,580
740,diaminopimelate epimerase activity,PF01678,GO:0008837,function,1,581
303,T=25 icosahedral viral capsid,PF01686,GO:0039623,component,1,582
1870,riboflavin kinase activity,PF01687,GO:0008531,function,1,583
963,host cell,PF01688,GO:0043657,component,1,584
2002,suppression by virus of host apoptotic process,PF01691,GO:0019050,process,2,585
1435,pentosyltransferase activity,PF01702,GO:0016763,function,3,586
2155,uridylyltransferase activity,PF01704,GO:0070569,function,1,587
1426,oxygen evolving activity,PF01716,GO:0010242,function,1,588
39,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,PF01717,GO:0003871,function,2,589
828,extrachromosomal circular DNA,PF01719,GO:0005727,component,1,590
725,defense response to bacterium,PF01721,GO:0042742,process,23,591
1987,structural constituent of egg chorion,PF01723,GO:0005213,function,4,592
1360,nucleoside triphosphate catabolic process,PF01725,GO:0009143,process,2,593
1174,methylation,PF01728,GO:0032259,process,3,594
1313,nicotinate-nucleotide diphosphorylase (carboxylating) activity,PF01729,GO:0004514,function,1,595
456,arylesterase activity,PF01731,GO:0004064,function,1,596
1358,nucleoside transmembrane transport,PF01733,GO:1901642,process,1,597
1505,phospholipid catabolic process,PF01735,GO:0009395,process,1,598
1534,photosystem II stabilization,PF01737,GO:0042549,process,3,599
1368,nucleotidyltransferase activity,PF01743,GO:0016779,function,8,600
1998,sulfate adenylyltransferase (ATP) activity,PF01747,GO:0004781,function,1,601
1334,nuclear import signal receptor activity,PF01749,GO:0061608,function,1,602
797,enzyme activator activity,PF01750,GO:0008047,function,5,603
832,fatty acid beta-oxidation,PF01756,GO:0006635,process,1,604
942,hexosyltransferase activity,PF01762,GO:0016758,function,8,605
637,chromosome organization,PF01763,GO:0051276,process,9,606
2206,vitamin transport,PF01770,GO:0051180,process,1,607
1070,large ribosomal subunit,PF01783,GO:0015934,component,2,608
408,alternative oxidase activity,PF01786,GO:0009916,function,1,609
830,extrinsic component of membrane,PF01789,GO:0019898,component,3,610
1480,phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity,PF01790,GO:0008961,function,1,611
1134,mannosyltransferase activity,PF01793,GO:0000030,function,4,612
434,antibiotic biosynthetic process,PF01804,GO:0017000,process,3,613
116,DNA primase activity,PF01807,GO:0003896,function,4,614
1513,phosphoribosylaminoimidazolecarboxamide formyltransferase activity,PF01808,GO:0004643,function,1,615
416,amino acid transport,PF01810,GO:0006865,process,2,616
1718,"proton-transporting ATPase activity, rotational mechanism",PF01813,GO:0046961,function,9,617
628,chorismate metabolic process,PF01817,GO:0046417,process,1,618
893,glutamic-type endopeptidase activity,PF01828,GO:0070007,function,1,619
409,amidase activity,PF01832,GO:0004040,function,1,620
1937,single strand break repair,PF01834,GO:0000012,process,1,621
1678,protein serine/threonine kinase activator activity,PF01840,GO:0043539,function,2,622
132,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity",PF01845,GO:0008657,function,1,623
952,histone acetyltransferase activity,PF01853,GO:0004402,function,4,624
1786,regulation of cell cycle,PF01857,GO:0051726,process,5,625
448,arginine decarboxylase activity,PF01862,GO:0008792,function,1,626
1642,protein histidyl modification to diphthamide,PF01866,GO:0017183,process,1,627
728,defense response to virus,PF01867,GO:0051607,process,4,628
1876,ribonuclease P complex,PF01868,GO:0030677,component,3,629
37,5-amino-6-(5-phosphoribosylamino)uracil reductase activity,PF01872,GO:0008703,function,1,630
2121,triphosphoribosyl-dephospho-CoA synthase activity,PF01874,GO:0046917,function,1,631
2023,tRNA processing,PF01876,GO:0008033,process,8,632
653,cobalamin biosynthetic process,PF01888,GO:0009236,process,9,633
2098,transition metal ion transport,PF01891,GO:0000041,process,1,634
125,"DNA replication, synthesis of RNA primer",PF01896,GO:0006269,process,4,635
715,cytosolic ribosome assembly,PF01912,GO:0042256,process,1,636
1380,one-carbon metabolic process,PF01913,GO:0006730,process,4,637
1451,peptidyl-lysine modification to peptidyl-hypusine,PF01916,GO:0008612,process,1,638
444,archaeal or bacterial-type flagellum-dependent cell motility,PF01917,GO:0097588,process,2,639
1608,prefoldin complex,PF01920,GO:0016272,component,1,640
1103,lysyl-tRNA aminoacylation,PF01921,GO:0006430,process,1,641
1928,signal recognition particle,PF01922,GO:0048500,component,3,642
203,LPPG:FO 2-phospho-L-lactate transferase activity,PF01933,GO:0043743,function,1,643
2070,toxin-antitoxin complex,PF01934,GO:0110001,component,3,644
460,aspartate dehydrogenase activity,PF01958,GO:0033735,function,1,645
24,3-dehydroquinate synthase activity,PF01959,GO:0003856,function,1,646
447,arginine biosynthetic process,PF01960,GO:0006526,process,1,647
2047,thiamine biosynthetic process,PF01964,GO:0009228,process,2,648
213,Mo-molybdopterin cofactor biosynthetic process,PF01967,GO:0006777,process,4,649
2028,tRNA-intron endonuclease activity,PF01974,GO:0000213,function,2,650
1498,phospholactate guanylyltransferase activity,PF01983,GO:0043814,function,1,651
1031,intracellular manganese ion homeostasis,PF01988,GO:0030026,process,1,652
1721,"proton-transporting two-sector ATPase complex, catalytic domain",PF01991,GO:0033178,component,2,653
840,ferredoxin hydrogenase activity,PF01993,GO:0008901,function,1,654
2022,tRNA nucleoside ribose methylation,PF01994,GO:0002128,process,1,655
2013,tRNA (guanine(10)-N2)-methyltransferase activity,PF02005,GO:0160102,function,1,656
592,cellulase activity,PF02015,GO:0008810,function,6,657
442,apoptotic process,PF02017,GO:0006915,process,10,658
989,"hydrolase activity, acting on glycosyl bonds",PF02018,GO:0016798,function,3,659
1022,interleukin-5 receptor binding,PF02025,GO:0005137,function,1,660
1321,nitrogen compound transport,PF02028,GO:0071705,process,2,661
935,hemolymph coagulation,PF02035,GO:0042381,process,3,662
1809,regulation of monoatomic ion transport,PF02038,GO:0043269,process,1,663
454,arsenite transport,PF02040,GO:0015700,process,1,664
469,auxin binding,PF02041,GO:0010011,function,1,665
1223,mitochondrial respiratory chain complex IV,PF02046,GO:0005751,component,6,666
474,bacterial-type flagellum,PF02049,GO:0009288,component,4,667
925,guanylate cyclase activator activity,PF02058,GO:0030250,function,1,668
1020,interleukin-3 receptor binding,PF02059,GO:0005135,function,1,669
2209,voltage-gated potassium channel activity,PF02060,GO:0005249,function,3,670
525,calmodulin binding,PF02063,GO:0005516,function,10,671
1823,regulation of smooth muscle contraction,PF02070,GO:0006940,process,1,672
838,feeding behavior,PF02072,GO:0007631,process,2,673
423,aminopeptidase activity,PF02073,GO:0004177,function,3,674
104,DNA endonuclease activity,PF02075,GO:0004520,function,1,675
1139,mating-type factor pheromone receptor activity,PF02076,GO:0004932,function,2,676
505,blood vessel diameter maintenance,PF02083,GO:0097746,process,1,677
863,fusion of sperm to egg plasma membrane involved in single fertilization,PF02084,GO:0007342,process,6,678
111,DNA methylation on adenine,PF02086,GO:0032775,process,2,679
944,histamine binding,PF02087,GO:0051381,function,1,680
1782,regulation of blood coagulation,PF02088,GO:0030193,process,1,681
918,glycyl-tRNA aminoacylation,PF02091,GO:0006426,process,2,682
911,glycine-tRNA ligase activity,PF02092,GO:0004820,function,2,683
410,amine binding,PF02098,GO:0043176,function,1,684
1391,ornithine decarboxylase inhibitor activity,PF02100,GO:0008073,function,1,685
2138,tyrosine binding,PF02101,GO:0072545,function,1,686
1026,interstrand cross-link repair,PF02106,GO:0036297,process,4,687
477,"bacterial-type flagellum basal body, distal rod, L ring",PF02107,GO:0009427,component,1,688
1378,oligosaccharyltransferase complex,PF02109,GO:0008250,component,2,689
993,hydroxyethylthiazole kinase activity,PF02110,GO:0004417,function,1,690
17,"3',5'-cyclic-AMP phosphodiesterase activity",PF02112,GO:0004115,function,1,691
281,Rho protein signal transduction,PF02115,GO:0007266,process,1,692
1903,sensory perception of chemical stimulus,PF02117,GO:0007606,process,4,693
478,"bacterial-type flagellum basal body, distal rod, P ring",PF02119,GO:0009428,component,1,694
1507,phospholipid transporter activity,PF02121,GO:0005548,function,1,695
549,catabolic process,PF02126,GO:0009056,process,1,696
376,adenosine deaminase activity,PF02137,GO:0004000,function,1,697
101,DNA damage checkpoint signaling,PF02144,GO:0000077,process,5,698
1822,regulation of small GTPase mediated signal transduction,PF02145,GO:0051056,process,1,699
225,NAD+ binding,PF02146,GO:0070403,function,3,700
143,DNA-templated transcription,PF02150,GO:0006351,process,53,701
850,folic acid-containing compound metabolic process,PF02152,GO:0006760,process,1,702
476,bacterial-type flagellum basal body,PF02154,GO:0009425,component,2,703
878,glucocorticoid receptor signaling pathway,PF02155,GO:0042921,process,1,704
1330,nuclear estrogen receptor activity,PF02159,GO:0030284,function,1,705
1343,nuclear steroid receptor activity,PF02161,GO:0003707,function,1,706
431,androgen receptor signaling pathway,PF02166,GO:0030521,process,1,707
2077,transcription coregulator activity,PF02172,GO:0003712,function,25,708
938,heparin binding,PF02177,GO:0008201,function,3,709
1701,protein-folding chaperone binding,PF02179,GO:0051087,function,4,710
2087,transcription initiation at RNA polymerase II promoter,PF02186,GO:0006367,process,9,711
1182,microtubule binding,PF02187,GO:0008017,function,17,712
175,GTPase regulator activity,PF02188,GO:0030695,function,1,713
2031,tachykinin receptor signaling pathway,PF02202,GO:0007217,process,2,714
1002,immunoglobulin binding,PF02216,GO:0019865,function,2,715
123,DNA replication origin binding,PF02217,GO:0003688,function,2,716
1176,methylenetetrahydrofolate reductase (NAD(P)H) activity,PF02219,GO:0004489,function,1,717
692,cytidylate kinase activity,PF02224,GO:0004127,function,1,718
681,cyclin-dependent protein serine/threonine kinase inhibitor activity,PF02234,GO:0004861,function,2,719
134,DNA unwinding involved in DNA replication,PF02236,GO:0006268,process,1,720
1661,protein modification process,PF02237,GO:0036211,process,6,721
658,coenzyme-B sulfoethylthiotransferase activity,PF02240,GO:0050524,function,5,722
396,alkylbase DNA N-glycosylase activity,PF02245,GO:0003905,function,1,723
971,host cell plasmodesma,PF02248,GO:0044219,component,1,724
1619,proteasome activator complex,PF02251,GO:0008537,component,2,725
1501,phospholipase activity,PF02253,GO:0004620,function,3,726
1603,potassium ion transport,PF02254,GO:0006813,process,11,727
936,hemolysis by symbiont of host erythrocytes,PF02258,GO:0019836,process,6,728
389,alanine biosynthetic process,PF02261,GO:0006523,process,1,729
533,carbohydrate transmembrane transport,PF02264,GO:0034219,process,2,730
100,DNA catabolic process,PF02265,GO:0006308,process,2,731
226,NAD+ nucleosidase activity,PF02267,GO:0003953,function,1,732
2082,transcription factor TFIIA complex,PF02268,GO:0005672,component,3,733
2073,transcription by RNA polymerase II,PF02269,GO:0006366,process,3,734
1200,"mitochondrial electron transport, ubiquinol to cytochrome c",PF02271,GO:0006122,process,5,735
1314,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,PF02277,GO:0008939,function,1,736
377,adenosylcobinamide kinase activity,PF02283,GO:0043752,function,1,737
1199,"mitochondrial electron transport, cytochrome c to oxygen",PF02284,GO:0006123,process,6,738
652,cobalamin binding,PF02286,GO:0031419,function,4,739
1168,methenyltetrahydromethanopterin cyclohydrolase activity,PF02289,GO:0018759,function,1,740
1930,"signal recognition particle, endoplasmic reticulum targeting",PF02290,GO:0005786,component,2,741
759,double-stranded RNA adenosine deaminase activity,PF02295,GO:0003726,function,1,742
648,clathrin adaptor complex,PF02296,GO:0030131,component,2,743
2177,viral capsid assembly,PF02304,GO:0019069,process,9,744
1242,modulation by virus of host process,PF02306,GO:0019048,process,6,745
2076,transcription coactivator activity,PF02312,GO:0003713,function,5,746
860,fumarate metabolic process,PF02313,GO:0006106,process,1,747
391,alcohol dehydrogenase (NAD+) activity,PF02315,GO:0004022,function,1,748
2089,transcription regulator complex,PF02319,GO:0005667,component,1,749
767,efflux transmembrane transporter activity,PF02321,GO:0015562,function,1,750
876,glucan biosynthetic process,PF02324,GO:0009250,process,1,751
946,histidine decarboxylase activity,PF02329,GO:0004398,function,1,752
1209,mitochondrial matrix,PF02330,GO:0005759,component,2,753
688,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,PF02331,GO:0043027,function,1,754
30,3-phytase activity,PF02333,GO:0016158,function,1,755
124,DNA replication termination,PF02334,GO:0006274,process,2,756
1318,"nitrite reductase (cytochrome, ammonia-forming) activity",PF02335,GO:0042279,function,1,757
1888,ribulose bisphosphate carboxylase complex assembly,PF02341,GO:0110102,process,1,758
2081,transcription elongation-coupled chromatin remodeling,PF02357,GO:0140673,process,1,759
4,"1,3-beta-D-glucan synthase complex",PF02364,GO:0000148,component,1,760
1626,protein O-linked glycosylation,PF02366,GO:0006493,process,1,761
2025,tRNA threonylcarbamoyladenosine modification,PF02367,GO:0002949,process,1,762
1544,plasmid maintenance,PF02387,GO:0006276,process,4,763
421,aminoacyltransferase activity,PF02388,GO:0016755,function,3,764
2015,tRNA (guanine(46)-N7)-methyltransferase activity,PF02390,GO:0008176,function,1,765
1017,interleukin-1 receptor binding,PF02394,GO:0005149,function,1,766
742,dimethylallyl diphosphate biosynthetic process,PF02401,GO:0050992,process,1,767
703,cytolysis,PF02402,GO:0019835,process,1,768
1979,stem cell factor receptor binding,PF02404,GO:0005173,function,1,769
1260,monooxygenase activity,PF02406,GO:0004497,function,4,770
779,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters",PF02407,GO:0016888,function,2,771
1154,mercury ion transmembrane transporter activity,PF02411,GO:0015097,function,3,772
630,chromate transmembrane transporter activity,PF02417,GO:0015109,function,1,773
1024,intermediate filament,PF02422,GO:0005882,component,2,774
1636,protein flavinylation,PF02424,GO:0017013,process,1,775
1528,photosystem I reaction center,PF02427,GO:0009538,component,5,776
1078,light-harvesting complex,PF02429,GO:0030076,component,1,777
536,carbohydrate utilization,PF02435,GO:0009758,process,1,778
2003,suppression by virus of host gene expression,PF02438,GO:0039657,process,1,779
1740,quinolinate synthetase A activity,PF02445,GO:0008987,function,1,780
32,4-alpha-glucanotransferase activity,PF02446,GO:0004134,function,1,781
880,gluconate transmembrane transporter activity,PF02447,GO:0015128,function,1,782
491,beta-galactosidase complex,PF02449,GO:0009341,component,2,783
239,O-acyltransferase activity,PF02450,GO:0008374,function,2,784
479,bacterial-type flagellum hook,PF02465,GO:0009424,component,1,785
714,cytosol,PF02474,GO:0005829,component,1,786
1800,regulation of gene expression,PF02479,GO:0010468,process,3,787
142,DNA-mediated transformation,PF02481,GO:0009294,process,1,788
1612,primary metabolic process,PF02482,GO:0044238,process,1,789
834,fatty acid biosynthetic process,PF02504,GO:0006633,process,8,790
1166,methanogenesis,PF02505,GO:0015948,process,11,791
1355,nucleoside diphosphate kinase activity,PF02509,GO:0004550,function,1,792
717,dTMP biosynthetic process,PF02511,GO:0006231,process,1,793
869,gamete generation,PF02513,GO:0007276,process,2,794
78,CAAX-box protein processing,PF02517,GO:0071586,process,1,795
1849,response to auxin,PF02519,GO:0009733,process,1,796
422,aminoglycoside 3-N-acetyltransferase activity,PF02522,GO:0046353,function,1,797
1750,rRNA methyltransferase activity,PF02527,GO:0008649,function,3,798
694,cytochrome b6f complex,PF02529,GO:0009512,component,4,799
11,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",PF02542,GO:0008685,function,1,800
1361,nucleoside triphosphate diphosphatase activity,PF02545,GO:0047429,function,3,801
28,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,PF02548,GO:0003864,function,1,802
1167,"methanogenesis, from acetate",PF02552,GO:0019385,process,1,803
656,cobalt ion transmembrane transporter activity,PF02553,GO:0015087,function,1,804
590,cellular response to starvation,PF02554,GO:0009267,process,2,805
1683,protein tetramerization,PF02556,GO:0051262,process,3,806
677,cyanate metabolic process,PF02560,GO:0009439,process,1,807
475,bacterial-type flagellum assembly,PF02561,GO:0044780,process,4,808
79,CCA tRNA nucleotidyltransferase activity,PF02568,GO:0004810,function,2,809
1429,pantoate-beta-alanine ligase activity,PF02569,GO:0004592,function,1,810
1607,precorrin-8X methylmutase activity,PF02570,GO:0016993,function,1,811
1606,precorrin-6A reductase activity,PF02571,GO:0016994,function,1,812
672,corrinoid adenosyltransferase activity,PF02572,GO:0008817,function,1,813
96,D-aminoacyl-tRNA deacylase activity,PF02580,GO:0051499,function,2,814
1692,protein-DNA covalent cross-linking,PF02586,GO:0018142,process,3,815
1739,queuosine salvage,PF02592,GO:1990397,process,1,816
1384,organic acid phosphorylation,PF02595,GO:0031388,process,1,817
1784,regulation of carbohydrate metabolic process,PF02599,GO:0006109,process,3,818
1700,protein-disulfide reductase activity,PF02600,GO:0015035,function,3,819
815,exodeoxyribonuclease VII activity,PF02601,GO:0008855,function,2,820
2157,uroporphyrinogen-III synthase activity,PF02602,GO:0004852,function,1,821
2041,tetraacyldisaccharide 4'-kinase activity,PF02606,GO:0009029,function,1,822
1540,plasma membrane,PF02608,GO:0005886,component,39,823
816,exodeoxyribonuclease VII complex,PF02609,GO:0009318,component,1,824
